TrialNumber,ApplicationNumber,FilingDate,PatentNumber
IPR2016-01874,12777809,2016-09-21,9055953
IPR2016-01875,13219140,2016-09-21,8360267
IPR2016-01829,10274670,2016-09-22,7356677
IPR2016-01828,09409013,2016-09-22,6690400
IPR2016-01885,11573200,2016-09-23,8253743
IPR2016-01884,10285450,2016-09-23,7336260
IPR2016-01876,13311735,2016-09-24,9182027
IPR2016-01873,13229406,2016-09-28,8967937
IPR2016-01895,11159768,2016-09-28,7697492
IPR2016-01907,11693117,2016-09-29,7808488
IPR2016-01894,10113183,2016-09-29,7472178
PGR2016-00044,13958137,2016-09-29,9225838
IPR2016-01914,12820063,2016-09-30,8394618
IPR2016-01910,12885158,2016-09-30,8680591
IPR2016-01897,14547148,2016-09-30,9253239
IPR2016-01915,11638814,2016-09-30,7737844
IPR2016-01917,11018516,2016-09-30,7669678
IPR2017-00001,11395685,2016-10-01,7468661
IPR2017-00009,13746938,2016-10-04,9020320
IPR2016-01905,13208084,2016-10-06,8450250
IPR2016-01903,13208139,2016-10-06,8426498
IPR2017-00029,12576806,2016-10-06,8538226
IPR2016-01901,13208063,2016-10-06,8450249
IPR2017-00040,08717031,2016-10-07,5761112
IPR2017-00032,10423162,2016-10-07,6849897
IPR2017-00038,09492726,2016-10-07,6195302
IPR2017-00045,09779677,2016-10-07,6530944
IPR2017-00046,10254233,2016-10-07,6685730
IPR2017-00036,08284183,2016-10-07,6088270
IPR2017-00037,10113705,2016-10-07,6699789
IPR2017-00039,09492726,2016-10-07,6195302
IPR2017-00028,13349980,2016-10-07,9102762
IPR2017-00030,10889488,2016-10-07,7306504
IPR2016-01839,09331002,2016-10-11,6470399
IPR2016-01842,11467092,2016-10-11,9189437
IPR2016-01863,12891443,2016-10-11,8504746
IPR2016-01860,11467073,2016-10-11,8966144
IPR2017-00058,11019655,2016-10-11,7804948
IPR2016-01864,09331002,2016-10-11,6470399
IPR2017-00059,13904748,2016-10-11,8960196
IPR2017-00062,14447673,2016-10-12,9119931
IPR2017-00066,14176608,2016-10-12,9074029
IPR2017-00007,12482892,2016-10-12,8233471
IPR2017-00067,12127592,2016-10-12,7910833
IPR2017-00060,12492512,2016-10-12,8992608
